Incident ID,Floors,Primary type,Height,Country,Region,Year built,Construction,Facade type,Cavity,Face material,Core material,Insulation material,Cause,fatalities,injuries,Sprinklers,Under construction,Elevation
1,63,Hotel,302,UAE,Middle East ,2008,Concrete,MCM,-1,Aluminium,PE,-1,Electric_3,0,16,Sprk_Not_known_0,No,3
2,86,Residential,352,UAE,Middle East ,2011,Concrete,MCM,-1,Aluminium,PE,-1,Cooking_appliance_1-7,0,4,Sprk_Not_known_0,No,1
3,86,Residential,352,UAE,Middle East ,2011,Concrete,MCM,-1,Aluminium,PE,-1,-1_0,0,0,Sprk_Not_known_0,No,1
4,35,Residential,160,UAE,Middle East ,2009,Concrete,MCM,-1,Aluminium,PE,-1,Smoking_related_45-46,0,0,Sprk_Not_known_0,No,0
5,13,Residential,57,UAE,Middle East ,-1,-1,MCM,-1,Aluminium,PE,-1,Electric_3,0,2,No_sprk_system,No,0
6,18,Residential,55,France,Europe,1966,-1,MCM,-1,Aluminium,PE,-1,-1_0,1,6,No_sprk_system,No,34
7,28,Residential,88,Russia,Europe,2013,-1,MCM,-1,-1,-1,-1,Electric_3,0,0,Sprk_Not_activated,No,121
8,32,Hotel,110,USA,North America,1995,-1,EIFS,-1,Polymer,-2,EPS / XPS,Welding_40,0,13,Sprk_Not_known_0,No,649
9,20,Hotel,76,USA,North America,1976,-1,EIFS,-1,-1,-2,PU,Natural_occurance_52,0,4,Sprk_Not_known_0,No,635
10,26,Hotel,82,USA,North America,1973,-1,MCM,-1,Polymer,-1,EPS / XPS,Electric_3,0,0,Sprk_Not_activated,No,1373
11,38,Residential,140,South Korea,Asia,2005,Steel,MCM,-1,Aluminium,PE,EPS / XPS,Electric_3,0,5,Sprk_Not_activated,No,5
12,31,Hotel,159,China,Asia,-2,Steel,EIFS,-1,Zinc,-2,EPS / XPS,Fireworks_49,1,7,Sprk_Not_activated,Yes,44
13,50,Office,203,China,Asia,2009,-1,-1,-1,-1,-1,-1,-1_0,0,0,No_sprk_system,No,24
14,16,Residential,-1,Azerbaijan,Asia,-1,-1,EIFS,-1,-1,-2,Foam,-1_0,15,63,No_sprk_system,No,-1
15,9,Residential,-1,Azerbaijan,Asia,-1,-1,Other,-1,-1,-1,-1,-1_0,0,0,No_sprk_system,No,-1
16,42,Residential,152,Turkey,Turkey,2001,-1,-1,-1,-1,-1,-1,Electric_3,0,0,Sprk_Not_known_0,No,40
17,41,Residential,161,UAE,Middle East ,2009,Concrete,MCM,-1,Aluminium,PE,-1,Smoking_related_45-46,0,0,No_sprk_system,No,7
18,42,Hotel,131,USA,North America,2007,Concrete,MCM,-1,Aluminium,PE,EPS / XPS,-1_0,0,0,Sprk_Not_known_0,No,6
19,11,Residential,-1,Hungary,Europe,1968,Concrete,EIFS,-1,Render,-2,EPS / XPS,-1_0,3,0,No_sprk_system,No,151
20,8,Residential,-1,Canada,North America,1987,-1,EIFS,-1,-1,-2,Foam,-1_0,0,0,No_sprk_system,No,232
21,10,Residential,-1,France,Europe,-1,-1,EIFS,-1,-1,-2,EPS / XPS,Fuel_related_56,7,11,No_sprk_system,No,-1
22,7,Residential,-1,Germany,Europe,1996,Concrete,EIFS,None,Render,-2,EPS / XPS,-1_0,2,3,No_sprk_system,No,53
23,5,Residential,-1,Germany,Europe,-1,-1,EIFS,-1,-1,-2,EPS / XPS,Fuel_related_56,0,0,No_sprk_system,No,-1
24,11,Residential,-1,UK,Europe,1965,Concrete,Other,Ventilated,-1,-1,-1,Fuel_related_56,0,0,No_sprk_system,No,44
25,13,Residential,-1,UK,Europe,1967,Concrete,Other,-1,Polymer,-1,-1,-1_0,1,5,No_sprk_system,No,8
26,36,Residential,130,UAE,Middle East ,2011,Concrete,MCM,-1,Aluminium,-1,-1,Smoking_related_45-46,0,0,No_sprk_system,No,0
27,76,Residential,288,UAE,Middle East ,2010,Concrete,-1,-1,-1,-1,-1,-1_0,0,0,No_sprk_system,No,3
28,76,Residential,288,UAE,Middle East ,2010,Concrete,-1,-1,-1,-1,-1,-1_0,0,0,No_sprk_system,No,3
29,20,Residential,-1,Japan,Asia,1972,Concrete,Other,-1,-1,Polymer,-1,-1_0,0,0,No_sprk_system,No,9
30,7,Office,-1,USA,North America,-1,-1,MCM,-1,-1,-1,-1,Fuel_related_56,0,0,No_sprk_system,No,-1
31,12,Residential,45,USA,North America,1983,-1,EIFS,-1,-1,-2,EPS / XPS,Fuel_related_56,0,0,No_sprk_system,No,-1
